DS_Name,Date,age,case
Solenzo,2017-09-01,ov5,10760
Solenzo,2017-09-01,u5,8812
Solenzo,2018-09-01,ov5,9937
Solenzo,2018-09-01,u5,8517
Solenzo,2015-10-01,ov5,10400
Solenzo,2015-10-01,u5,0
Solenzo,2016-10-01,ov5,10583
Solenzo,2016-10-01,u5,10373
Solenzo,2017-10-01,ov5,11496
Solenzo,2017-10-01,u5,9956
Solenzo,2018-10-01,ov5,12784
Solenzo,2018-10-01,u5,11011
Solenzo,2015-11-01,ov5,9652
Solenzo,2015-11-01,u5,0
Solenzo,2016-11-01,ov5,6560
Solenzo,2016-11-01,u5,5756
Solenzo,2017-11-01,ov5,10550
Solenzo,2017-11-01,u5,9936
Solenzo,2018-11-01,ov5,11907
Solenzo,2018-11-01,u5,10824
Solenzo,2015-12-01,ov5,5950
Solenzo,2015-12-01,u5,0
Solenzo,2016-12-01,ov5,10769
Solenzo,2016-12-01,u5,15372
Solenzo,2017-12-01,ov5,5530
Solenzo,2017-12-01,u5,8198
Solenzo,2018-12-01,ov5,8547
Solenzo,2018-12-01,u5,10236
Toma,2015-01-01,ov5,2368
Toma,2015-01-01,u5,0
Toma,2016-01-01,ov5,2732
Toma,2016-01-01,u5,1929
Toma,2017-01-01,ov5,3410
Toma,2017-01-01,u5,3920
Toma,2018-01-01,ov5,5558
Toma,2018-01-01,u5,4828
Toma,2015-02-01,ov5,2674
Toma,2015-02-01,u5,0
Toma,2016-02-01,ov5,2923
Toma,2016-02-01,u5,2098
Toma,2017-02-01,ov5,4999
Toma,2017-02-01,u5,5566
Toma,2018-02-01,ov5,3209
Toma,2018-02-01,u5,3532
Toma,2015-03-01,ov5,2088
Toma,2015-03-01,u5,0
Toma,2016-03-01,ov5,2526
Toma,2016-03-01,u5,1923
Toma,2017-03-01,ov5,3047
Toma,2017-03-01,u5,3699
Toma,2018-03-01,ov5,1404
Toma,2018-03-01,u5,2027
Toma,2015-04-01,ov5,2361
Toma,2015-04-01,u5,0
Toma,2016-04-01,ov5,2268
Toma,2016-04-01,u5,1469
Toma,2017-04-01,ov5,2736
Toma,2017-04-01,u5,3191
Toma,2018-04-01,ov5,1370
Toma,2018-04-01,u5,1438
Toma,2015-05-01,ov5,2237
Toma,2015-05-01,u5,0
Toma,2016-05-01,ov5,1976
Toma,2016-05-01,u5,1295
Toma,2017-05-01,ov5,1943
Toma,2017-05-01,u5,2180
Toma,2018-05-01,ov5,1265
Toma,2018-05-01,u5,1242
Toma,2015-06-01,ov5,1689
Toma,2015-06-01,u5,0
Toma,2016-06-01,ov5,1733
Toma,2016-06-01,u5,2209
Toma,2017-06-01,ov5,2077
Toma,2017-06-01,u5,2212
Toma,2018-06-01,ov5,1179
Toma,2018-06-01,u5,1217
Toma,2015-07-01,ov5,1756
Toma,2015-07-01,u5,0
Toma,2016-07-01,ov5,2992
Toma,2016-07-01,u5,4797
Toma,2017-07-01,ov5,5499
Toma,2017-07-01,u5,8931
Toma,2018-07-01,ov5,2329
Toma,2018-07-01,u5,3284
Toma,2015-08-01,ov5,5344
Toma,2015-08-01,u5,0
Toma,2016-08-01,ov5,5813
Toma,2016-08-01,u5,4466
Toma,2017-08-01,ov5,5621
Toma,2017-08-01,u5,4938
Toma,2018-08-01,ov5,7284
Toma,2018-08-01,u5,6214
Toma,2015-09-01,ov5,5192
Toma,2015-09-01,u5,0
Toma,2016-09-01,ov5,6099
Toma,2016-09-01,u5,4760
Toma,2017-09-01,ov5,5469
Toma,2017-09-01,u5,5138
Toma,2018-09-01,ov5,6943
Toma,2018-09-01,u5,6557
Toma,2015-10-01,ov5,6492
Toma,2015-10-01,u5,0
Toma,2016-10-01,ov5,7310
Toma,2016-10-01,u5,7580
Toma,2017-10-01,ov5,5429
Toma,2017-10-01,u5,5617
Toma,2018-10-01,ov5,7870
Toma,2018-10-01,u5,8355
Toma,2015-11-01,ov5,5757
Toma,2015-11-01,u5,0
Toma,2016-11-01,ov5,4285
Toma,2016-11-01,u5,3790
Toma,2017-11-01,ov5,4237
Toma,2017-11-01,u5,4202
Toma,2018-11-01,ov5,7737
Toma,2018-11-01,u5,7262
Toma,2015-12-01,ov5,4340
Toma,2015-12-01,u5,0
Toma,2016-12-01,ov5,3373
Toma,2016-12-01,u5,5557
Toma,2017-12-01,ov5,2792
Toma,2017-12-01,u5,3745
Toma,2018-12-01,ov5,5113
Toma,2018-12-01,u5,7137
Tougan,2015-01-01,ov5,2235
Tougan,2015-01-01,u5,0
Tougan,2016-01-01,ov5,2948
Tougan,2016-01-01,u5,2314
Tougan,2017-01-01,ov5,2731
Tougan,2017-01-01,u5,2783
Tougan,2018-01-01,ov5,3691
Tougan,2018-01-01,u5,2491
Tougan,2015-02-01,ov5,2257
Tougan,2015-02-01,u5,0
Tougan,2016-02-01,ov5,2577
Tougan,2016-02-01,u5,1431
Tougan,2017-02-01,ov5,3139
Tougan,2017-02-01,u5,2805
Tougan,2018-02-01,ov5,2646
Tougan,2018-02-01,u5,2259
Tougan,2015-03-01,ov5,1929
Tougan,2015-03-01,u5,0
Tougan,2016-03-01,ov5,1945
Tougan,2016-03-01,u5,1050
Tougan,2017-03-01,ov5,2539
Tougan,2017-03-01,u5,2041
Tougan,2018-03-01,ov5,1901
Tougan,2018-03-01,u5,1610
Tougan,2015-04-01,ov5,1854
Tougan,2015-04-01,u5,0
